id,surface,context_state,source_file,current_text,dynamic,risk_level,notes
STR-199,Settings,static button,design/opendesign-exploration/station/settings.html:300,Reset planet positions,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-200,Settings,static button,design/opendesign-exploration/station/settings.html:301,Clear everything,no,P1,"High-trust inconsistency, prototype leakage, or destructive-scope ambiguity."
STR-201,Settings,static span,design/opendesign-exploration/station/settings.html:307,Burrito Journalism says:,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-202,Settings,static h2,design/opendesign-exploration/station/settings.html:318,Your companion,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-203,Settings,static p,design/opendesign-exploration/station/settings.html:319,Pick who travels with you. Each companion has their own personality and templates.,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-204,Settings,static label,design/opendesign-exploration/station/settings.html:323,Companion,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-205,Settings,static option,design/opendesign-exploration/station/settings.html:325,Mermaid — curious and lyrical,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-206,Settings,static option,design/opendesign-exploration/station/settings.html:326,Ratatoskr — quick and mischievous,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-207,Settings,static option,design/opendesign-exploration/station/settings.html:327,Robot — plain and careful,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-208,Settings,static option,design/opendesign-exploration/station/settings.html:328,Burrito Journalism — warm newsroom voice,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-209,Settings,static summary,design/opendesign-exploration/station/settings.html:334,under the hood,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-210,Settings,static h2,design/opendesign-exploration/station/settings.html:348,Back up your world,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-211,Settings,nav aria-label,design/opendesign-exploration/station/settings.html:352,Leave settings,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-212,Settings,static a,design/opendesign-exploration/station/settings.html:353,← Back to your map,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-213,Settings,static p,design/opendesign-exploration/station/settings.html:354,None of this is required. The defaults are already accessible. ✦,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-214,Login,static title,src/personal_world/static/login/index.html:7,Sign in — Project Worlds,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-215,Login,static a,src/personal_world/static/login/index.html:108,Skip to main content,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-216,Login,static p,src/personal_world/static/login/index.html:110,Project Worlds,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-217,Login,static h1,src/personal_world/static/login/index.html:111,Sign in,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-218,Login,static p,src/personal_world/static/login/index.html:117,Sign in with your account — no password to remember.,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-219,Login,static button,src/personal_world/static/login/index.html:118,Sign in with your account,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-220,Login,static p,src/personal_world/static/login/index.html:119,Uses your passkey where your provider supports one.,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-221,Login,static summary,src/personal_world/static/login/index.html:125,Use an access code instead,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-222,Login,static p,src/personal_world/static/login/index.html:126,Enter the access code for this world to continue.,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-223,Login,static label,src/personal_world/static/login/index.html:129,Access code,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-224,Login,static button,src/personal_world/static/login/index.html:133,Enter,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-225,Login,static p,src/personal_world/static/login/index.html:137,The access code belongs to this world and is set by whoever runs it.,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-226,Setup,static title,src/personal_world/static/setup/index.html:7,Set up Project Worlds,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-227,Setup,static a,src/personal_world/static/setup/index.html:11,Skip to main content,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-228,Setup,static p,src/personal_world/static/setup/index.html:14,Project Worlds,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-229,Setup,static p,src/personal_world/static/setup/index.html:15,first-time setup,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-230,Setup,static h1,src/personal_world/static/setup/index.html:19,Set up Project Worlds,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-231,Setup,static p,src/personal_world/static/setup/index.html:20,Step 1 of 5: Welcome,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-232,Setup,static h2,src/personal_world/static/setup/index.html:25,Welcome,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-233,Setup,static p,src/personal_world/static/setup/index.html:26,"Project Worlds is your own private dashboard. It keeps track of your projects, journals what happens, and can connect to the services you already run — all on",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-234,Setup,static p,src/personal_world/static/setup/index.html:28,server. Nothing is sent to anyone else's computer.,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-235,Setup,static p,src/personal_world/static/setup/index.html:30,This setup takes about five minutes. You will:,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-236,Setup,static li,src/personal_world/static/setup/index.html:32,"let the app prepare itself (automatic — you just watch),",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-237,Setup,static li,src/personal_world/static/setup/index.html:33,"choose how you want to sign in,",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-238,Setup,static li,src/personal_world/static/setup/index.html:34,"pick a couple of comfort settings,",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-239,Setup,static li,src/personal_world/static/setup/index.html:35,"finish, and the app opens.",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-240,Setup,static p,src/personal_world/static/setup/index.html:37,"You do not need any technical knowledge. If something goes wrong, this page tells you what happened and what to try.",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-241,Setup,static button,src/personal_world/static/setup/index.html:40,Get started,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-242,Setup,static h2,src/personal_world/static/setup/index.html:46,Getting things ready,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-243,Setup,static p,src/personal_world/static/setup/index.html:48,Preparing your world. This usually takes a few seconds — you do not need to do anything.,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-244,Setup,static p,src/personal_world/static/setup/index.html:53,Something needs your attention,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-245,Setup,static button,src/personal_world/static/setup/index.html:55,Retry,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-246,Setup,static h2,src/personal_world/static/setup/index.html:61,How will you sign in?,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-247,Setup,static p,src/personal_world/static/setup/index.html:62,Pick one. You can change this later.,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-248,Setup,static legend,src/personal_world/static/setup/index.html:64,Sign-in method,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-249,Setup,static span,src/personal_world/static/setup/index.html:68,Just me on this device,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-250,Setup,static span,src/personal_world/static/setup/index.html:69,Recommended,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-251,Setup,static span,src/personal_world/static/setup/index.html:70,No extra accounts or settings. The app signs you in automatically on this server. Best if you are the only person using it.,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-252,Setup,static span,src/personal_world/static/setup/index.html:78,Sign in with my own SSO,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-253,Setup,static span,src/personal_world/static/setup/index.html:79,"Use a sign-in server you already run (OpenID Connect — for example Authelia, Keycloak, or Authentik). You will need its address and the “client ID” from that server.",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-254,Setup,static h3,src/personal_world/static/setup/index.html:88,Your SSO details,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-255,Setup,static label,src/personal_world/static/setup/index.html:90,Sign-in server address (issuer URL),no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-256,Setup,input placeholder,src/personal_world/static/setup/index.html:91,https://sso.example.com,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-257,Setup,static p,src/personal_world/static/setup/index.html:94,"The base address of your sign-in server, starting with https://",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-258,Setup,static label,src/personal_world/static/setup/index.html:98,Client ID,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-259,Setup,static p,src/personal_world/static/setup/index.html:101,The identifier your sign-in server gave to Project Worlds when you registered it.,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-260,Setup,static label,src/personal_world/static/setup/index.html:106,Name of the environment variable that holds the client secret,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-261,Setup,input placeholder,src/personal_world/static/setup/index.html:107,PW_OIDC_CLIENT_SECRET,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-262,Setup,static p,src/personal_world/static/setup/index.html:110,Only the,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-263,Setup,static p,src/personal_world/static/setup/index.html:111,of the variable — never type the secret itself into this page. For example:,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-264,Setup,static button,src/personal_world/static/setup/index.html:116,Test connection,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-265,Setup,static span,src/personal_world/static/setup/index.html:122,ℹ,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-266,Setup,static p,src/personal_world/static/setup/index.html:122,Good to know,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-267,Setup,static button,src/personal_world/static/setup/index.html:127,Back,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-268,Setup,static button,src/personal_world/static/setup/index.html:128,Continue,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-269,Setup,static h2,src/personal_world/static/setup/index.html:134,Make yourself comfortable,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-270,Setup,static p,src/personal_world/static/setup/index.html:135,"Two quick choices. Both can be changed later in Settings, and both start at the calmest, most readable defaults.",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-271,Setup,static span,src/personal_world/static/setup/index.html:141,Larger text,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-272,Setup,static span,src/personal_world/static/setup/index.html:142,Bumps the text size up one step across the whole app.,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-273,Setup,static span,src/personal_world/static/setup/index.html:151,Gentle animation,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-274,Setup,static span,src/personal_world/static/setup/index.html:152,"Allows short, subtle transitions. Off by default — the app is calm and still without it.",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-275,Setup,static button,src/personal_world/static/setup/index.html:159,Back,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-276,Setup,static button,src/personal_world/static/setup/index.html:160,Continue,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-277,Setup,static h2,src/personal_world/static/setup/index.html:166,All done — ready to open your world,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-278,Setup,static p,src/personal_world/static/setup/index.html:167,Here is what you chose:,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-279,Setup,static p,src/personal_world/static/setup/index.html:174,Finishing setup…,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-280,Setup,static p,src/personal_world/static/setup/index.html:177,Setup could not finish,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-281,Setup,static button,src/personal_world/static/setup/index.html:179,Try again,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-282,Setup,static button,src/personal_world/static/setup/index.html:182,Back,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-283,Setup,static button,src/personal_world/static/setup/index.html:183,Finish and enter Project Worlds,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-284,Setup,static p,src/personal_world/static/setup/index.html:189,Everything you enter here stays on your own server. This page never asks for a password or a secret value.,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-285,Global Station,companion trigger accessible name,design/opendesign-exploration/station/station.js:75,"Talk to <companion>, your companion — press to open chat",yes,P2,Accessible name is instructional and conflicts with the contract's 'Open World assistant'.
STR-286,Global Station,companion trigger title,design/opendesign-exploration/station/station.js:100,Talk to your companion,yes,P2,Companion/chat/help/assistant terminology is not stable.
STR-287,Global Station,help trigger,design/opendesign-exploration/station/station.js:118,Hail Assistant,yes,P1,"This opens a help/low-demand dialog, not the assistant; the label promises the wrong function."
STR-288,Global Station,help dialog heading,design/opendesign-exploration/station/station.js:129,"Okay. Less, for now. ✦",yes,P2,Warm but assumes an emotional need before stating what the dialog does.
STR-289,Global Station,help dialog reassurance,design/opendesign-exploration/station/station.js:130,Nothing is wrong and nothing is lost. Pick whichever of these feels smallest for you right this second. The rest of your world stays exactly where it is.,yes,P1,False reassurance when the system has not checked whether anything is wrong; also wordy.
STR-290,Global Station,help action,design/opendesign-exploration/station/station.js:133,Show me only what needs me,yes,P3,Canonical low-demand action candidate.
STR-291,Global Station,help action,design/opendesign-exploration/station/station.js:134,Make everything quieter,yes,P3,Meaning is understandable but should name the changed settings in follow-up feedback.
STR-292,Global Station,help action,design/opendesign-exploration/station/station.js:135,Bring my world back,yes,P2,Poetic action does not say it restores the normal view and motion default.
STR-293,Global Station,help action,design/opendesign-exploration/station/station.js:136,How this looks & feels,yes,P3,Good human-first destination label.
STR-294,Global Station,help action,design/opendesign-exploration/station/station.js:137,Talk it out with a companion,yes,P3,Use only for companion chat; do not reuse for product help.
STR-295,Global Station,help dismiss,design/opendesign-exploration/station/station.js:138,Nothing for now ✦,yes,P3,"Quiet, low-pressure dismissal."
STR-296,Search,not ready,design/opendesign-exploration/station/search.js:128,The map isn’t ready to search on this page yet.,yes,P2,Explain what remains available and the next action.
STR-297,Search,no results,design/opendesign-exploration/station/search.js:140,"No places match “<query>”. Try a world like Interests, or a cluster like Music.",yes,P3,Specific recovery step; keep examples aligned with visible sections.
STR-298,Search,empty result,design/opendesign-exploration/station/search.js:141,Nothing to show yet.,yes,P2,"Too vague without saying whether the map is empty, unavailable, or still loading."
STR-299,Search,jump feedback,design/opendesign-exploration/station/search.js:217,Jumped to <place>,yes,P3,Useful live feedback.
STR-300,Search,trigger accessible name,design/opendesign-exploration/station/search.js:297,Search the map — jump to any world or cluster,yes,P3,Clear and task-based.
STR-301,Search,dialog heading,design/opendesign-exploration/station/search.js:313,Quick jump,yes,P3,Concise; 'Search the map' is more consistent if one term is required.
STR-302,Search,input placeholder,design/opendesign-exploration/station/search.js:320,Jump to a world or cluster…,yes,P3,Placeholder supplements rather than replaces the label.
STR-303,Search,keyboard instructions,design/opendesign-exploration/station/search.js:323,"Type to filter. Use Up and Down arrow keys to browse results, Enter to jump to the highlighted place, Escape to close.",yes,P3,Clear accessibility instruction.
STR-304,Onboarding,welcome heading,design/opendesign-exploration/station/onboarding.js:53,Welcome to your world ✦,yes,P3,Warm opening.
STR-305,Onboarding,welcome concept,design/opendesign-exploration/station/onboarding.js:54,"This is your systems map — not a dashboard, not a wall of notifications. It stays quiet until you move toward something.",yes,P2,Starts by negating two concepts and uses 'systems map' before defining usefulness.
STR-306,Onboarding,specimen warning,design/opendesign-exploration/station/onboarding.js:67,This prototype is filled with sample content marked specimen — none of it is your real data yet.,yes,P1,Prototype language is reaching the normal product and should disappear when sample panels are removed.
STR-307,Onboarding,companion explanation,design/opendesign-exploration/station/onboarding.js:91,"A companion is a quiet presence in the corner — a silhouette, not a narrator. It travels with you and opens a small chat when you want one. You can change this, or switch companions off, at any time.",yes,P3,Good authority boundary; retain the distinction between decoration and function.
STR-308,Onboarding,accessibility reassurance,design/opendesign-exploration/station/onboarding.js:120,"A few comfort choices that sit above the accessibility floor. The defaults are already accessible — change only what you want, or change nothing.",yes,P3,Aligned with the accessibility contract.
STR-309,Onboarding,low-demand description,design/opendesign-exploration/station/onboarding.js:128,Low shows only what needs you; your world stays exactly where it is.,yes,P2,Say 'Low-demand view' and clarify that only the display changes.
STR-310,Map,zoom action,design/opendesign-exploration/station/starmap.js:262,Zoom out,yes,P3,Clear action.
STR-311,Map,region rollup labels,design/opendesign-exploration/station/starmap.js:331,Recently / From / Suggests / Needs you here,yes,P2,Fragments are vague without a noun and often sit above specimen content.
STR-312,Map,quiet region,design/opendesign-exploration/station/starmap.js:494,This corner is quiet for now ✦,yes,P3,Use only after a successful check; not as a fallback for unknown.
STR-313,Map,quiet region follow-up,design/opendesign-exploration/station/starmap.js:495,Add something when you are ready — or don't. Both are fine.,yes,P3,Low-pressure and appropriate for a true empty state.
STR-314,Map,item count,design/opendesign-exploration/station/starmap.js:498,<count> items · specimen,yes,P1,Prototype marker on the live product; replace with real count/state or remove the specimen branch.
STR-315,Map shaping,intro,design/opendesign-exploration/station/shapemap.js:63,"This map is yours to organise. Add a cluster, rename one, tuck something under a different parent, or hide a default. Changes apply to the chart immediately and are remembered on this device.",yes,P3,Clear scope and persistence location.
STR-316,Map shaping,remove action,design/opendesign-exploration/station/shapemap.js:57,remove,yes,P1,"Does not name the cluster, consequence, or whether content is deleted or only hidden."
STR-317,Map shaping,move control accessible name,design/opendesign-exploration/station/shapemap.js:48,Move <cluster> under,yes,P2,Incomplete accessible sentence; include the destination relationship.
STR-318,Map shaping,reset action,design/opendesign-exploration/station/shapemap.js:89,Reset layout,yes,P2,Should say what resets and whether data/content is unaffected.
STR-319,Shared state,loading label,design/opendesign-exploration/station/api.js:388,checking…,yes,P3,Canonical loading label.
STR-320,Shared state,healthy,design/opendesign-exploration/station/api.js:62,all good,yes,P3,Canonical display label for healthy.
STR-321,Shared state,needs attention,design/opendesign-exploration/station/api.js:63,needs you,yes,P3,Reserve for an action the person can actually take.
STR-322,Shared state,warning,design/opendesign-exploration/station/api.js:64,worth a look,yes,P3,Canonical non-urgent warning label.
STR-323,Shared state,unavailable,design/opendesign-exploration/station/api.js:65,can’t reach it,yes,P2,Object is often unclear; prefer 'Can't connect to <service> right now'.
STR-324,Shared state,stale,design/opendesign-exploration/station/api.js:66,a while old,yes,P2,Too vague; show the observation time and say it may be out of date.
STR-325,Shared state,unknown,design/opendesign-exploration/station/api.js:67,not sure yet,yes,P2,Personifies the product; prefer 'Not known yet' with a reason or next check.
STR-326,Shared state,not configured,design/opendesign-exploration/station/api.js:68,not set up yet,yes,P3,Canonical display label; absence is not failure.
STR-327,Shared state,disabled,design/opendesign-exploration/station/api.js:69,off,yes,P3,Canonical display label.
STR-328,Shared state,403 error,design/opendesign-exploration/station/api.js:413,That needs an elevation this session does not have.,yes,P1,Internal auth language; say what action is blocked and ask the person to confirm it is them.
STR-329,Shared state,401 error,design/opendesign-exploration/station/api.js:414,Sign in to see this.,yes,P3,Clear recovery step.
STR-330,Shared state,network error,design/opendesign-exploration/station/api.js:496,Could not reach the server.,yes,P2,Add what did not change and a retry/recovery action.
STR-331,Shared state,unknown endpoint,design/opendesign-exploration/station/api.js:517,No endpoint called “<endpoint>” is in the API manifest.,yes,P2,Developer vocabulary should stay in technical details; default copy should say the feature is not available in this build.
STR-332,Shared state,write called as read,design/opendesign-exploration/station/api.js:522,<method> <path> is a write. Use PW_API.write() so the gate is checked.,yes,P1,Internal developer instruction can surface to end users.
STR-333,Shared state,proposal execution blocked,design/opendesign-exploration/station/api.js:550,This write only runs an already-approved proposal. Approve it first (PROP-approve); it cannot be called directly.,yes,P1,"Good boundary, wrong layer and terminology."
STR-334,Shared state,step-up blocked,design/opendesign-exploration/station/api.js:557,This write needs an elevation (step-up). PW_API.elevate(token) performs the real credential event first — this client will not fake one.,yes,P1,Security implementation prose is leaking to the human-facing layer.
STR-335,Shared state,missing step-up credential,design/opendesign-exploration/station/api.js:581,An elevation needs your access code.,yes,P1,Use 'Enter your access code to confirm it's you.' OIDC-only sessions need separate recovery because SSO cannot step up yet.
STR-336,Shared state,generic panel failure,design/opendesign-exploration/station/real-data.js:216,<surface> could not be loaded,yes,P2,Prefer the action/object plus what remains available and a retry.
STR-337,Shared state,unknown panel reassurance,design/opendesign-exploration/station/real-data.js:219,Nothing was guessed and nothing is hidden — this panel simply does not know yet.,yes,P2,Good honesty but repeats reassurance and personifies the panel.
STR-338,Needs you,loading,design/opendesign-exploration/station/real-data.js:500,Checking what needs you…,yes,P3,Clear loading state.
STR-339,Needs you,partial source failure,design/opendesign-exploration/station/real-data.js:509,"Part of this could not be checked (<sources>), so “all quiet” would be a guess. It is not shown.",yes,P3,Strong honest-state wording; simplify only after preserving this logic.
STR-340,Needs you,all sources failed,design/opendesign-exploration/station/real-data.js:514,This could not be checked,yes,P2,Name the sources or task and give the next step.
STR-341,Needs you,verified empty,design/opendesign-exploration/station/real-data.js:527,"Nothing needs you right now. Both sources were checked just now — this is verified, not assumed.",yes,P2,"Useful truth, but 'both sources' is implementation-shaped and 'just now' should use the actual timestamp."
STR-342,Needs you,proposal status,design/opendesign-exploration/station/real-data.js:242,waiting for your decision,yes,P3,Canonical pending-proposal language.
STR-343,Needs you,approved proposal status,design/opendesign-exploration/station/real-data.js:242,"approved, not yet run",yes,P3,Clearly separates approval from execution.
STR-344,Needs you,proposal title patterns,design/opendesign-exploration/station/real-data.js:258,A <journal entry / intent / fact / reminder / settings reconciliation> was drafted,yes,P3,Use 'drafted' consistently so assistant action is never mistaken for a completed write.
STR-345,Needs you,proposal safety note,design/opendesign-exploration/station/real-data.js:566,nothing changes until you approve it — this panel is read-only,yes,P3,Good authority boundary; sentence case and avoid repeating on every row if one group note suffices.
STR-346,Needs you,reminder safety note,design/opendesign-exploration/station/real-data.js:567,reminders are read here; changing them is a gated write,yes,P2,"Translate 'gated write' to a human action, with technical wording disclosed later."
STR-347,Needs you,technical disclosure,design/opendesign-exploration/station/real-data.js:581,"approve / reject / run are gate: step-up and gate: proposal writes (PROP-approve, PROP-reject, PROP-execute)",yes,P2,Allowed only at technical disclosure level; rewrite the first sentence in human terms.
STR-348,Journal,server journal loading,design/opendesign-exploration/station/real-data.js:596,Loading your journal…,yes,P3,Canonical loading copy could use 'Checking…' everywhere.
STR-349,Journal,server journal empty,design/opendesign-exploration/station/real-data.js:611,"No journal entries yet. This is your real journal, read from the server — it is genuinely empty, not sample content.",yes,P1,Prototype-vs-real reassurance should disappear once specimen panels are removed.
STR-350,Journal,server journal populated,design/opendesign-exploration/station/real-data.js:636,"<count> real entry/entries, newest first. Nothing here is sample content.",yes,P1,"'Real' and 'sample' are prototype-era distinctions, not normal product copy."
STR-351,Journal,specimen intro,design/opendesign-exploration/station/journal-view.js:103,"No journal is connected yet, so this view is specimen — sample entries that show what reading your journal will feel like.",yes,P1,Contradicts the live server journal immediately above it.
STR-352,Journal,local save feedback,design/opendesign-exploration/station/journal-view.js:165,Opened the Write tab — that one is real and saves on this device only.,yes,P1,There are two journals with different persistence and no durable naming distinction.
STR-353,Journal,local public empty,design/opendesign-exploration/station/journal.html:354,No entries yet / Your journal is waiting. Write something — it does not have to be finished or important.,yes,P2,Duplicates the server journal empty state and calls browser-local storage 'your journal'.
STR-354,Journal,local vault empty,design/opendesign-exploration/station/journal.html:378,The vault is empty / Vault entries stay private and are not surfaced by the map. Write something just for yourself.,yes,P0,Browser localStorage is not the encrypted server vault; 'private' invites a security misunderstanding.
STR-355,Journal,local vault tag,design/opendesign-exploration/station/journal.html:368,✦ vault,yes,P0,Uses the protected Vault name for unencrypted browser-local entries.
STR-356,Interests,specimen card flag,design/opendesign-exploration/station/interests-view.js:67,specimen · sample discovery,yes,P1,Prototype content is on a normal product route.
STR-357,Interests,why label,design/opendesign-exploration/station/interests-view.js:72,Why this is here:,yes,P3,Excellent provenance label; retain for real discoveries.
STR-358,Interests,keep action,design/opendesign-exploration/station/interests-view.js:62,Keep ✦,yes,P2,State where it will be kept when persistence exists.
STR-359,Interests,dismiss action,design/opendesign-exploration/station/interests-view.js:64,Dismiss,yes,P2,Clarify permanence and whether dismissal trains future matching.
STR-360,Interests,all samples dismissed,design/opendesign-exploration/station/interests-view.js:95,"You dismissed every sample on this page. In the real product, dismissed items stay away — the feed never nags or refills with manufactured urgency. Quiet is a valid state.",yes,P1,Claims future behavior from a prototype; do not promise durable dismissal until implemented.
STR-361,Interests,not configured,design/opendesign-exploration/station/interests-view.js:105,Discoveries are not set up yet,yes,P3,Clear state heading.
STR-362,Interests,not configured next step,design/opendesign-exploration/station/interests-view.js:108,"When you are ready, connecting a source is a Settings decision — never a surprise.",yes,P2,"Calm, but 'Settings decision' is unnatural; point to the exact setting/action."
STR-363,Interests,local remove accessible name,design/opendesign-exploration/station/interests.html:292,Remove <interest>,yes,P1,No confirmation or consequence; current removal is immediate browser-local deletion.
STR-364,Interests,local empty,design/opendesign-exploration/station/interests.html:332,Quiet for now ✦ / <section-specific empty message>,yes,P3,Appropriate only after local storage was successfully read.
STR-365,Projects,loading placeholder,design/opendesign-exploration/station/projects.html:75,Working out what to show you… / specimen,yes,P1,'Specimen' leaks and the page never transitions to real project data.
STR-366,Projects,intro,design/opendesign-exploration/station/projects-view.js:450,"What you are making, as it actually is — including the messy parts. A dirty tree is information, not an emergency. ✦",yes,P1,'As it actually is' conflicts with the entirely specimen implementation.
STR-367,Projects,specimen warning,design/opendesign-exploration/station/projects-view.js:452,"Every repository, branch, file and commit below is illustrative... none of it is your work, and this page reads nothing and writes nothing.",yes,P1,Honest but confirms the primary surface is not a usable product surface.
STR-368,Projects,state labels,design/opendesign-exploration/station/projects-view.js:31,all good / needs you / work in progress / diverged / not sure yet,yes,P2,"'dirty' is domain state, not canonical health; keep publication, working tree, and observation certainty separate."
STR-369,Projects,proposal action,design/opendesign-exploration/station/projects-view.js:392,Propose refresh / gated · explains only / writes nothing,yes,P1,A button labeled as a proposal only opens an explanation; action and result do not match.
STR-370,Projects,gate reassurance,design/opendesign-exploration/station/projects-view.js:359,"Nothing was written. No command ran, no file changed, no repository was touched — not here and not anywhere.",yes,P2,Over-reassures and uses global certainty the UI cannot prove outside this handler.
STR-371,Projects,approval explanation,design/opendesign-exploration/station/projects-view.js:62,"You say yes explicitly, and the world re-checks who you are at the moment of action rather than trusting an earlier session.",yes,P3,Strong human explanation of step-up; use before technical terminology.
STR-372,Projects,gate unwired state,design/opendesign-exploration/station/projects-view.js:353,not wired in this prototype,yes,P1,"Normal users should see unavailable behavior, not implementation-stage language."
STR-373,Projects,live-region open,design/opendesign-exploration/station/projects-view.js:487,Explanation open. Nothing was written: no command ran and no file changed.,yes,P2,"Useful result, but announce once; the dialog body already repeats it."
STR-374,Chat,empty greetings,design/opendesign-exploration/station/chat.js:18,<companion-specific greeting>,yes,P3,Whimsy is appropriate here if it does not claim observations the system did not make.
STR-375,Chat,Ratatoskr greeting,design/opendesign-exploration/station/chat.js:20,Psst — I noticed some threads connecting lately. Want me to show you?,yes,P1,Claims an observation without reading any data.
STR-376,Chat,empty privacy statement,design/opendesign-exploration/station/chat.js:128,"Everything you say stays on this device. <companion> hears you, but replies come from the real capability — nothing invented here.",yes,P0,Confuses current browser-local prototype storage with the real chat provider path and anthropomorphizes receipt.
STR-377,Chat,submit result,design/opendesign-exploration/station/chat.js:170,<companion> heard you. Replies bind to the real chat capability (API-010) — nothing is invented here.,yes,P1,No real provider call occurs; it acknowledges receipt as if the assistant processed the message.
STR-378,Chat,template personality,design/opendesign-exploration/station/chat.js:38,Brisk and faithful; writes things down so you do not have to.,yes,P1,Implies write authority/persistence that the current chat surface does not have.
STR-379,Chat,template prompt,design/opendesign-exploration/station/chat.js:39,What did I leave unfinished?,yes,P2,Safe only when the assistant can cite observed evidence and freshness.
STR-380,Chat,assistant max-tool result,src/personal_world/chat.py:173,I gathered some information but reached the tool call limit. Let me share what I found.,yes,P2,Says it will share findings but returns no actual summary; name the incomplete result and next step.
